timestamp_ms;event;details
0;session_start;mode=Sequential
17.877;stimulus_start;idx=0;digits=84;freq=30;dur=8000;needReaction=1
8018.683;stimulus_timeout;idx=0
14425.683;stimulus_answer;idx=0;input=84;target=84;correct=1;rtMs=n/a
14425.696;stimulus_start;idx=1;digits=23;freq=20;dur=8000;needReaction=1
18570.611;stimulus_answer;idx=1;input=23;target=23;correct=1;rtMs=4026
18570.624;stimulus_start;idx=2;digits=23;freq=15;dur=8000;needReaction=1
21427.855;stimulus_answer;idx=2;input=23;target=23;correct=1;rtMs=2541
21427.869;stimulus_start;idx=3;digits=75;freq=50;dur=8000;needReaction=1
29428.458;stimulus_timeout;idx=3
42487.859;stimulus_answer;idx=3;input=75;target=75;correct=1;rtMs=n/a
42487.872;stimulus_start;idx=4;digits=29;freq=50;dur=8000;needReaction=1
50488.753;stimulus_timeout;idx=4
81614.986;stimulus_answer;idx=4;input=29;target=29;correct=1;rtMs=n/a
81614.999;stimulus_start;idx=5;digits=44;freq=50;dur=8000;needReaction=1
89615.306;stimulus_timeout;idx=5
98174.891;stimulus_answer;idx=5;input=44;target=44;correct=1;rtMs=n/a
98174.906;stimulus_start;idx=6;digits=93;freq=50;dur=8000;needReaction=1
106176.31;stimulus_timeout;idx=6
126929.816;stimulus_answer;idx=6;input=93;target=93;correct=1;rtMs=n/a
126929.828;stimulus_start;idx=7;digits=82;freq=50;dur=8000;needReaction=1
134930.58;stimulus_timeout;idx=7
145312.82;stimulus_answer;idx=7;input=82;target=82;correct=1;rtMs=n/a
145312.833;stimulus_start;idx=8;digits=85;freq=50;dur=8000;needReaction=1
153314.183;stimulus_timeout;idx=8
158812.818;stimulus_answer;idx=8;input=85;target=85;correct=1;rtMs=n/a
158812.832;stimulus_start;idx=9;digits=39;freq=50;dur=8000;needReaction=1
166813.729;stimulus_timeout;idx=9
173932.77;stimulus_answer;idx=9;input=39;target=39;correct=1;rtMs=n/a
173932.77;sequence_end;
